date,vol
11/14/86,35.20 
11/17/86,36.60 
11/18/86 ,35.60 
11/19/86 ,35.65 
11/20/86 ,36.80 
11/21/86 ,33.45 
11/24/86 ,32.55 
11/25/86 ,32.80 
11/26/86 ,31.35 
12/01/86 ,34.80 
12/02/86 ,33.65 
12/03/86 ,33.50 
12/04/86 ,33.30 
12/05/86 ,33.15 
12/08/86 ,33.90 
12/09/86 ,33.65 
12/10/86 ,34.75 
12/11/86 ,34.10 
12/12/86 ,35.30 
12/15/86 ,36.85 
12/16/86 ,34.40 
12/17/86 ,34.95 
12/18/86 ,37.75 
12/19/86 ,29.20 
12/22/86 ,34.55 
12/23/86 ,33.50 
12/24/86 ,34.10 
12/29/86 ,31.05 
12/30/86 ,31.15 
12/31/86 ,28.90 
01/02/87 ,33.70 
01/05/87 ,32.65 
01/06/87 ,31.20 
01/07/87 ,29.35 
01/08/87 ,27.05 
01/09/87 ,28.60 
01/12/87 ,27.30 
01/13/87 ,27.20 
01/14/87 ,24.85 
01/15/87 ,24.85 
01/16/87 ,26.00 
01/19/87 ,27.40 
01/20/87 ,26.95 
01/21/87 ,27.10 
01/22/87 ,26.00 
01/23/87 ,23.35 
01/26/87 ,24.55 
01/27/87 ,24.35 
01/28/87 ,24.85 
01/29/87 ,24.70 
01/30/87 ,24.00 
02/02/87 ,24.75 
02/03/87 ,23.15 
02/04/87 ,22.30 
02/05/87 ,25.20 
02/06/87 ,24.40 
02/09/87 ,23.00 
02/10/87 ,22.50 
02/11/87 ,23.10 
02/12/87 ,22.90 
02/13/87 ,21.90 
02/17/87 ,21.45 
02/18/87 ,26.25 
02/19/87 ,25.40 
02/20/87 ,25.85 
02/23/87 ,28.50 
02/24/87 ,27.90 
02/25/87 ,33.65 
02/26/87 ,29.95 
02/27/87 ,34.10 
03/02/87 ,36.75 
03/03/87 ,36.35 
03/04/87 ,36.80 
03/05/87 ,34.60 
03/06/87 ,31.30 
03/09/87 ,28.25 
03/10/87 ,27.10 
03/11/87 ,27.40 
03/12/87 ,27.75 
03/13/87 ,26.00 
03/16/87 ,26.85 
03/17/87 ,25.20 
03/18/87 ,26.65 
03/19/87 ,26.25 
03/20/87 ,23.85 
03/23/87 ,22.35 
03/24/87 ,23.60 
03/25/87 ,23.55 
03/26/87 ,22.95 
03/27/87 ,22.55 
03/30/87 ,22.35 
03/31/87 ,22.85 
04/01/87 ,21.70 
04/02/87 ,20.90 
04/03/87 ,18.90 
04/06/87 ,19.30 
04/07/87 ,18.85 
04/08/87 ,19.15 
04/09/87 ,18.95 
04/10/87 ,19.20 
