year_beg,pom,no_hedge_current,no_hedge_highest,with_hedge_current,rebalanced_current,year_end
1990,0.1,0.13,0.145,0.095,0.097,2000
1990,0.12,0.13,0.145,0.1,0.097,2000
1990,0.14,0.13,0.145,0.11,0.097,2000
1990,0.16,0.13,0.145,0.114,0.097,2000
1990,0.18,0.13,0.145,0.117,0.097,2000
1991,0.1,0.15,0.167,0.107,0.109,2000
1991,0.12,0.15,0.167,0.116,0.109,2000
1991,0.14,0.15,0.167,0.128,0.109,2000
1991,0.16,0.15,0.167,0.13,0.109,2000
1991,0.18,0.15,0.167,0.136,0.109,2000
1992,0.1,0.137,0.155,0.095,0.1,2000
1992,0.12,0.137,0.155,0.106,0.1,2000
1992,0.14,0.137,0.155,0.113,0.1,2000
1992,0.16,0.137,0.155,0.118,0.1,2000
1992,0.18,0.137,0.155,0.119,0.1,2000
1993,0.1,0.149,0.17,0.102,0.109,2000
1993,0.12,0.149,0.17,0.117,0.109,2000
1993,0.14,0.149,0.17,0.125,0.109,2000
1993,0.16,0.149,0.17,0.13,0.109,2000
1993,0.18,0.149,0.17,0.133,0.109,2000
1994,0.1,0.161,0.185,0.105,0.118,2000
1994,0.12,0.161,0.185,0.123,0.118,2000
1994,0.14,0.161,0.185,0.124,0.118,2000
1994,0.16,0.161,0.185,0.131,0.118,2000
1994,0.18,0.161,0.185,0.145,0.118,2000
1995,0.1,0.193,0.222,0.132,0.137,2000
1995,0.12,0.193,0.222,0.144,0.137,2000
1995,0.14,0.193,0.222,0.155,0.137,2000
1995,0.16,0.193,0.222,0.164,0.137,2000
1995,0.18,0.193,0.222,0.171,0.137,2000
1996,0.1,0.163,0.198,0.093,0.117,2000
1996,0.12,0.163,0.198,0.115,0.117,2000
1996,0.14,0.163,0.198,0.126,0.117,2000
1996,0.16,0.163,0.198,0.132,0.117,2000
1996,0.18,0.163,0.198,0.139,0.117,2000
1997,0.1,0.157,0.2,0.08,0.112,2000
1997,0.12,0.157,0.2,0.097,0.112,2000
1997,0.14,0.157,0.2,0.112,0.112,2000
1997,0.16,0.157,0.2,0.106,0.112,2000
1997,0.18,0.157,0.2,0.129,0.112,2000
1998,0.1,0.107,0.162,0.033,0.08,2000
1998,0.12,0.107,0.162,0.051,0.08,2000
1998,0.14,0.107,0.162,0.061,0.08,2000
1998,0.16,0.107,0.162,0.055,0.08,2000
1998,0.18,0.107,0.162,0.057,0.08,2000
1999,0.1,0.037,0.116,-0.038,0.034,2000
1999,0.12,0.037,0.116,-0.018,0.034,2000
1999,0.14,0.037,0.116,-0.018,0.034,2000
1999,0.16,0.037,0.116,-0.004,0.034,2000
1999,0.18,0.037,0.116,-0.002,0.034,2000
1990,0.1,0.104,0.132,0.08,0.081,2001
1990,0.12,0.104,0.132,0.079,0.081,2001
1990,0.14,0.104,0.132,0.092,0.081,2001
1990,0.16,0.104,0.132,0.091,0.081,2001
1990,0.18,0.104,0.132,0.091,0.081,2001
1991,0.1,0.121,0.151,0.09,0.091,2001
1991,0.12,0.121,0.151,0.092,0.091,2001
1991,0.14,0.121,0.151,0.108,0.091,2001
1991,0.16,0.121,0.151,0.107,0.091,2001
1991,0.18,0.121,0.151,0.111,0.091,2001
1992,0.1,0.106,0.139,0.076,0.082,2001
1992,0.12,0.106,0.139,0.083,0.082,2001
1992,0.14,0.106,0.139,0.092,0.082,2001
1992,0.16,0.106,0.139,0.105,0.082,2001
1992,0.18,0.106,0.139,0.103,0.082,2001
1993,0.1,0.114,0.15,0.082,0.088,2001
1993,0.12,0.114,0.15,0.092,0.088,2001
1993,0.14,0.114,0.15,0.098,0.088,2001
1993,0.16,0.114,0.15,0.101,0.088,2001
1993,0.18,0.114,0.15,0.098,0.088,2001
1994,0.1,0.12,0.16,0.08,0.095,2001
1994,0.12,0.12,0.16,0.091,0.095,2001
1994,0.14,0.12,0.16,0.097,0.095,2001
1994,0.16,0.12,0.16,0.109,0.095,2001
1994,0.18,0.12,0.16,0.113,0.095,2001
1995,0.1,0.14,0.187,0.099,0.105,2001
1995,0.12,0.14,0.187,0.103,0.105,2001
1995,0.14,0.14,0.187,0.119,0.105,2001
1995,0.16,0.14,0.187,0.131,0.105,2001
1995,0.18,0.14,0.187,0.127,0.105,2001
1996,0.1,0.108,0.162,0.063,0.083,2001
1996,0.12,0.108,0.162,0.078,0.083,2001
1996,0.14,0.108,0.162,0.09,0.083,2001
1996,0.16,0.108,0.162,0.1,0.083,2001
1996,0.18,0.108,0.162,0.089,0.083,2001
1997,0.1,0.093,0.157,0.033,0.073,2001
1997,0.12,0.093,0.157,0.054,0.073,2001
1997,0.14,0.093,0.157,0.068,0.073,2001
1997,0.16,0.093,0.157,0.08,0.073,2001
1997,0.18,0.093,0.157,0.073,0.073,2001
1998,0.1,0.042,0.119,-0.011,0.039,2001
1998,0.12,0.042,0.119,0.014,0.039,2001
1998,0.14,0.042,0.119,0.027,0.039,2001
1998,0.16,0.042,0.119,0.031,0.039,2001
1998,0.18,0.042,0.119,0.041,0.039,2001
1999,0.1,-0.022,0.076,-0.039,-0.002,2001
1999,0.12,-0.022,0.076,-0.04,-0.002,2001
1999,0.14,-0.022,0.076,-0.046,-0.002,2001
1999,0.16,-0.022,0.076,-0.037,-0.002,2001
1999,0.18,-0.022,0.076,-0.039,-0.002,2001
2000,0.1,-0.112,0.025,-0.109,-0.034,2001
2000,0.12,-0.112,0.025,-0.119,-0.034,2001
2000,0.14,-0.112,0.025,-0.101,-0.034,2001
2000,0.16,-0.112,0.025,-0.109,-0.034,2001
2000,0.18,-0.112,0.025,-0.117,-0.034,2001
1990,0.1,0.072,0.121,0.063,0.063,2002
1990,0.12,0.072,0.121,0.065,0.063,2002
1990,0.14,0.072,0.121,0.081,0.063,2002
1990,0.16,0.072,0.121,0.077,0.063,2002
1990,0.18,0.072,0.121,0.082,0.063,2002
1991,0.1,0.086,0.137,0.068,0.072,2002
1991,0.12,0.086,0.137,0.075,0.072,2002
1991,0.14,0.086,0.137,0.095,0.072,2002
1991,0.16,0.086,0.137,0.092,0.072,2002
1991,0.18,0.086,0.137,0.095,0.072,2002
1992,0.1,0.07,0.125,0.053,0.061,2002
1992,0.12,0.07,0.125,0.068,0.061,2002
1992,0.14,0.07,0.125,0.079,0.061,2002
1992,0.16,0.07,0.125,0.089,0.061,2002
1992,0.18,0.07,0.125,0.088,0.061,2002
1993,0.1,0.073,0.134,0.058,0.064,2002
1993,0.12,0.073,0.134,0.074,0.064,2002
1993,0.14,0.073,0.134,0.078,0.064,2002
1993,0.16,0.073,0.134,0.084,0.064,2002
1993,0.18,0.073,0.134,0.086,0.064,2002
1994,0.1,0.073,0.141,0.051,0.066,2002
1994,0.12,0.073,0.141,0.072,0.066,2002
1994,0.14,0.073,0.141,0.077,0.066,2002
1994,0.16,0.073,0.141,0.091,0.066,2002
1994,0.18,0.073,0.141,0.093,0.066,2002
1995,0.1,0.085,0.162,0.065,0.073,2002
1995,0.12,0.085,0.162,0.077,0.073,2002
1995,0.14,0.085,0.162,0.091,0.073,2002
1995,0.16,0.085,0.162,0.107,0.073,2002
1995,0.18,0.085,0.162,0.101,0.073,2002
1996,0.1,0.051,0.137,0.03,0.05,2002
1996,0.12,0.051,0.137,0.054,0.05,2002
1996,0.14,0.051,0.137,0.071,0.05,2002
1996,0.16,0.051,0.137,0.078,0.05,2002
1996,0.18,0.051,0.137,0.068,0.05,2002
1997,0.1,0.03,0.129,0.013,0.037,2002
1997,0.12,0.03,0.129,0.033,0.037,2002
1997,0.14,0.03,0.129,0.04,0.037,2002
1997,0.16,0.03,0.129,0.052,0.037,2002
1997,0.18,0.03,0.129,0.051,0.037,2002
1998,0.1,-0.02,0.094,-0.024,0.001,2002
1998,0.12,-0.02,0.094,-0.004,0.001,2002
1998,0.14,-0.02,0.094,0.004,0.001,2002
1998,0.16,-0.02,0.094,0.016,0.001,2002
1998,0.18,-0.02,0.094,0.025,0.001,2002
1999,0.1,-0.08,0.056,-0.06,-0.035,2002
1999,0.12,-0.08,0.056,-0.048,-0.035,2002
1999,0.14,-0.08,0.056,-0.047,-0.035,2002
1999,0.16,-0.08,0.056,-0.041,-0.035,2002
1999,0.18,-0.08,0.056,-0.045,-0.035,2002
2000,0.1,-0.155,0.016,-0.111,-0.071,2002
2000,0.12,-0.155,0.016,-0.098,-0.071,2002
2000,0.14,-0.155,0.016,-0.094,-0.071,2002
2000,0.16,-0.155,0.016,-0.09,-0.071,2002
2000,0.18,-0.155,0.016,-0.099,-0.071,2002
2001,0.1,-0.172,0.032,-0.136,-0.105,2002
2001,0.12,-0.172,0.032,-0.149,-0.105,2002
2001,0.14,-0.172,0.032,-0.143,-0.105,2002
2001,0.16,-0.172,0.032,-0.119,-0.105,2002
2001,0.18,-0.172,0.032,-0.127,-0.105,2002
1990,0.1,0.085,0.111,0.073,0.07,2003
1990,0.12,0.085,0.111,0.072,0.07,2003
1990,0.14,0.085,0.111,0.084,0.07,2003
1990,0.16,0.085,0.111,0.081,0.07,2003
1990,0.18,0.085,0.111,0.076,0.07,2003
1991,0.1,0.099,0.126,0.081,0.079,2003
1991,0.12,0.099,0.126,0.083,0.079,2003
1991,0.14,0.099,0.126,0.096,0.079,2003
1991,0.16,0.099,0.126,0.093,0.079,2003
1991,0.18,0.099,0.126,0.099,0.079,2003
1992,0.1,0.085,0.114,0.066,0.069,2003
1992,0.12,0.085,0.114,0.074,0.069,2003
1992,0.14,0.085,0.114,0.083,0.069,2003
1992,0.16,0.085,0.114,0.095,0.069,2003
1992,0.18,0.085,0.114,0.085,0.069,2003
1993,0.1,0.089,0.121,0.073,0.072,2003
1993,0.12,0.089,0.121,0.087,0.072,2003
1993,0.14,0.089,0.121,0.091,0.072,2003
1993,0.16,0.089,0.121,0.086,0.072,2003
1993,0.18,0.089,0.121,0.078,0.072,2003
1994,0.1,0.091,0.126,0.069,0.074,2003
1994,0.12,0.091,0.126,0.079,0.074,2003
1994,0.14,0.091,0.126,0.086,0.074,2003
1994,0.16,0.091,0.126,0.085,0.074,2003
1994,0.18,0.091,0.126,0.095,0.074,2003
1995,0.1,0.103,0.143,0.081,0.082,2003
1995,0.12,0.103,0.143,0.087,0.082,2003
1995,0.14,0.103,0.143,0.101,0.082,2003
1995,0.16,0.103,0.143,0.1,0.082,2003
1995,0.18,0.103,0.143,0.104,0.082,2003
1996,0.1,0.076,0.119,0.054,0.064,2003
1996,0.12,0.076,0.119,0.072,0.064,2003
1996,0.14,0.076,0.119,0.077,0.064,2003
1996,0.16,0.076,0.119,0.074,0.064,2003
1996,0.18,0.076,0.119,0.079,0.064,2003
1997,0.1,0.061,0.11,0.039,0.053,2003
1997,0.12,0.061,0.11,0.047,0.053,2003
1997,0.14,0.061,0.11,0.065,0.053,2003
1997,0.16,0.061,0.11,0.071,0.053,2003
1997,0.18,0.061,0.11,0.065,0.053,2003
1998,0.1,0.022,0.078,0.011,0.024,2003
1998,0.12,0.022,0.078,0.027,0.024,2003
1998,0.14,0.022,0.078,0.033,0.024,2003
1998,0.16,0.022,0.078,0.019,0.024,2003
1998,0.18,0.022,0.078,0.026,0.024,2003
